hub_state,hub_city,city,state,latitude,longitude,distance_miles,delivery_count
DE,Newark,Claymont,DE,39.8032,-75.4607,18.0,10
DE,Newark,Clayton,DE,39.2849,-75.6366,27.89,0
DE,Newark,Delaware City,DE,39.574,-75.5938,11.28,1
DE,Newark,Dover,DE,39.161,-75.5202,37.88,150
DE,Newark,Edgemoor,DE,39.7547,-75.5069,14.35,0
DE,Newark,Felton,DE,39.0127,-75.5765,46.95,3
DE,Newark,Hartly,DE,39.1683,-75.7124,35.27,4
DE,Newark,Hockessin,DE,39.7837,-75.6815,8.37,2
DE,Newark,Middletown,DE,39.445,-75.7183,16.21,25
DE,Newark,New Castle,DE,39.6681,-75.5697,10.01,108
DE,Newark,Newark,DE,39.6776,-75.7576,0.0,187
DE,Newark,Newport,DE,39.7135,-75.6046,8.5,2
DE,Newark,Smyrna,DE,39.2935,-75.6083,27.71,130
DE,Newark,Townsend,DE,39.3968,-75.6943,19.69,1
DE,Newark,Viola,DE,39.0429,-75.5715,44.97,24
DE,Newark,Wilmington,DE,39.7415,-75.5416,12.3,56
FL,Jacksonville,East Palatka,FL,29.6502,-81.5997,47.34,1
FL,Jacksonville,Fernandina Beach,FL,30.6571,-81.4511,26.1,1
FL,Jacksonville,Fleming Island,FL,30.0988,-81.7124,16.28,1
FL,Jacksonville,Green Cove Springs,FL,29.9904,-81.6807,23.62,2
FL,Jacksonville,Jacksonville,FL,30.3322,-81.6749,0.0,156
FL,Jacksonville,Jacksonville Beach,FL,30.2782,-81.4045,16.56,2
FL,Jacksonville,Macclenny,FL,30.2809,-82.1253,27.1,5
FL,Jacksonville,Middleburg,FL,30.0502,-81.9011,23.71,0
FL,Jacksonville,Orange Park,FL,30.1706,-81.7041,11.3,2
FL,Jacksonville,Palatka,FL,29.6493,-81.6705,47.18,0
FL,Jacksonville,St. Augustine,FL,29.8976,-81.31,37.11,3
FL,Jacksonville,Starke,FL,29.9474,-82.1129,37.31,1
FL,Jacksonville,Yulee,FL,30.635,-81.5678,21.87,1
GA,Pendergrass,Alpharetta,GA,34.0704,-84.2738,34.43,15
GA,Pendergrass,Alto,GA,34.4649,-83.5727,21.68,0
GA,Pendergrass,Athens,GA,33.9508,-83.3689,23.26,11
GA,Pendergrass,Auburn,GA,34.0156,-83.8319,13.37,0
GA,Pendergrass,Ball Ground,GA,34.3426,-84.3637,40.79,8
GA,Pendergrass,Bethlehem,GA,33.9368,-83.7102,15.82,0
GA,Pendergrass,Bogart,GA,33.9479,-83.5341,17.22,1
GA,Pendergrass,Bowersville,GA,34.373,-83.0838,37.1,1
GA,Pendergrass,Braselton,GA,34.1087,-83.8127,8.38,8
GA,Pendergrass,Buford,GA,34.1192,-83.9903,17.87,72
GA,Pendergrass,Canon,GA,34.3455,-83.1107,34.98,0
GA,Pendergrass,Canton,GA,34.2467,-84.4897,46.46,1
GA,Pendergrass,Carnesville,GA,34.3729,-83.2328,29.45,1
GA,Pendergrass,Chamblee,GA,33.8842,-84.3007,40.35,2
GA,Pendergrass,Clarkesville,GA,34.6103,-83.5284,32.03,1
GA,Pendergrass,Clarkston,GA,33.8117,-84.2403,40.19,0
GA,Pendergrass,Cleveland,GA,34.597,-83.7622,30.22,5
GA,Pendergrass,Commerce,GA,34.2134,-83.4733,12.43,24
GA,Pendergrass,Conyers,GA,33.6646,-83.9966,38.95,29
GA,Pendergrass,Cornelia,GA,34.517,-83.5311,25.84,1
GA,Pendergrass,Covington,GA,33.6049,-83.8463,39.79,32
GA,Pendergrass,Crawford,GA,33.8831,-83.1551,35.93,1
GA,Pendergrass,Cumming,GA,34.2063,-84.1339,25.95,9
GA,Pendergrass,Dacula,GA,33.9815,-83.8952,17.55,19
GA,Pendergrass,Dahlonega,GA,34.5311,-83.9804,30.49,0
GA,Pendergrass,Dawsonville,GA,34.4362,-84.125,31.46,0
GA,Pendergrass,Decatur,GA,33.7711,-84.2963,44.45,3
GA,Pendergrass,Doraville,GA,33.9073,-84.2711,38.09,11
GA,Pendergrass,Duluth,GA,34.0053,-84.1492,28.87,15
GA,Pendergrass,Dunwoody,GA,33.9418,-84.3122,39.19,2
GA,Pendergrass,Elberton,GA,34.1063,-82.8705,46.62,2
GA,Pendergrass,Flowery Branch,GA,34.1712,-83.9142,13.24,4
GA,Pendergrass,Gainesville,GA,34.2902,-83.8294,12.06,29
GA,Pendergrass,Gillsville,GA,34.3085,-83.6352,10.31,0
GA,Pendergrass,Hartwell,GA,34.3496,-82.9289,44.9,4
GA,Pendergrass,Helen,GA,34.7046,-83.7214,37.38,1
GA,Pendergrass,Hoschton,GA,34.0853,-83.7594,7.02,1
