2026-01-18 21:47:46,798 - src.utils - INFO - ======================================================================
2026-01-18 21:47:46,798 - src.utils - INFO - LOGISTICS HUB ANALYSIS SYSTEM
2026-01-18 21:47:46,798 - src.utils - INFO - ======================================================================
2026-01-18 21:47:46,798 - src.utils - INFO - 
>>> STEP 1: Processing loads report data
2026-01-18 21:47:46,799 - src.data_processor - INFO - Starting data processing pipeline...
2026-01-18 21:47:46,799 - src.data_processor - INFO - Found 5 loads report files
2026-01-18 21:47:46,899 - src.data_processor - INFO - Loaded 13221 records from loads-report_04.01.2025--06.30.2025--(11.07.2025--05-34).csv
2026-01-18 21:47:46,948 - src.data_processor - INFO - Loaded 9170 records from loads-report_09.01.2025--10.31.2025--(01.16.2026--05-02).csv
2026-01-18 21:47:46,991 - src.data_processor - INFO - Loaded 8170 records from loads-report_11.01.2025--12.31.2025--(01.16.2026--05-00).csv
2026-01-18 21:47:47,037 - src.data_processor - INFO - Loaded 8943 records from loads-report_07.01.2025--08.31.2025--(11.07.2025--05-37).csv
2026-01-18 21:47:47,263 - src.data_processor - INFO - Loaded 46713 records from loads-report-03-31-2025-before.csv
2026-01-18 21:47:47,296 - src.data_processor - INFO - Combined total: 86217 records
2026-01-18 21:47:47,304 - src.data_processor - INFO - Extracting cities and states from addresses...
2026-01-18 21:47:58,416 - src.data_processor - INFO - Successfully extracted 82924/86217 pickup locations
2026-01-18 21:47:58,416 - src.data_processor - INFO - Successfully extracted 81682/86217 delivery locations
2026-01-18 21:47:58,416 - src.data_processor - INFO - Aggregating city-level counts...
2026-01-18 21:47:58,688 - src.data_processor - INFO - Aggregated data for 7068 unique cities
2026-01-18 21:47:58,688 - src.data_processor - INFO - Adding coordinates to cities using database...
2026-01-18 21:47:58,782 - src.geocoding_database - INFO - Loaded 31254 cities from database
2026-01-18 21:48:22,069 - src.data_processor - INFO - Successfully geocoded 5393/7068 cities
2026-01-18 21:48:22,070 - src.data_processor - WARNING - Could not geocode 1675 cities:
2026-01-18 21:48:22,081 - src.data_processor - WARNING -   - 309060000, GA
2026-01-18 21:48:22,081 - src.data_processor - WARNING -   - 316364005, GA
2026-01-18 21:48:22,081 - src.data_processor - WARNING -   - 402090001, KY
2026-01-18 21:48:22,082 - src.data_processor - WARNING -   - 436150001, OH
2026-01-18 21:48:22,082 - src.data_processor - WARNING -   - 45067*9791, OH
2026-01-18 21:48:22,082 - src.data_processor - WARNING -   - 471700001, IN
2026-01-18 21:48:22,082 - src.data_processor - WARNING -   - 482070001, MI
2026-01-18 21:48:22,082 - src.data_processor - WARNING -   - 500 Gateway Boulevard, OH
2026-01-18 21:48:22,082 - src.data_processor - WARNING -   - 616 Industrial Road, KY
2026-01-18 21:48:22,083 - src.data_processor - WARNING -   - 62040-205, IL
2026-01-18 21:48:22,083 - src.data_processor - WARNING -   - 64773669, CT
2026-01-18 21:48:22,083 - src.data_processor - WARNING -   - 79810001, NJ
2026-01-18 21:48:22,083 - src.data_processor - WARNING -   - 83602016, NJ
2026-01-18 21:48:22,083 - src.data_processor - WARNING -   - 869108691, NJ
2026-01-18 21:48:22,083 - src.data_processor - WARNING -   - : 47130, IN
2026-01-18 21:48:22,083 - src.data_processor - WARNING -   - Abington, PA
2026-01-18 21:48:22,084 - src.data_processor - WARNING -   - Acme, PA
2026-01-18 21:48:22,084 - src.data_processor - WARNING -   - Acton, MA
2026-01-18 21:48:22,084 - src.data_processor - WARNING -   - Acushnet, MA
2026-01-18 21:48:22,084 - src.data_processor - WARNING -   - Ada, MI
2026-01-18 21:48:22,084 - src.data_processor - WARNING -   - Adams, MA
2026-01-18 21:48:22,085 - src.data_processor - WARNING -   - Adams, NY
2026-01-18 21:48:22,085 - src.data_processor - WARNING -   - Addison, NY
2026-01-18 21:48:22,085 - src.data_processor - WARNING -   - Adger, AL
2026-01-18 21:48:22,085 - src.data_processor - WARNING -   - Adrian, PA
2026-01-18 21:48:22,085 - src.data_processor - WARNING -   - Afton, NY
2026-01-18 21:48:22,085 - src.data_processor - WARNING -   - Afton, TN
2026-01-18 21:48:22,087 - src.data_processor - WARNING -   - Agawam, MA
2026-01-18 21:48:22,087 - src.data_processor - WARNING -   - Aladdin, WY
2026-01-18 21:48:22,087 - src.data_processor - WARNING -   - Alden, NY
2026-01-18 21:48:22,087 - src.data_processor - WARNING -   - Alexander, NY
2026-01-18 21:48:22,087 - src.data_processor - WARNING -   - Alfred Station, NY
2026-01-18 21:48:22,088 - src.data_processor - WARNING -   - Allenstown, NH
2026-01-18 21:48:22,088 - src.data_processor - WARNING -   - Alloy, WV
2026-01-18 21:48:22,088 - src.data_processor - WARNING -   - Alton, VA
2026-01-18 21:48:22,088 - src.data_processor - WARNING -   - Altona, NY
2026-01-18 21:48:22,088 - src.data_processor - WARNING -   - Amenia, NY
2026-01-18 21:48:22,088 - src.data_processor - WARNING -   - Amherst, NH
2026-01-18 21:48:22,089 - src.data_processor - WARNING -   - Amherst, NY
2026-01-18 21:48:22,089 - src.data_processor - WARNING -   - Ancram, NY
2026-01-18 21:48:22,089 - src.data_processor - WARNING -   - Andover, MA
2026-01-18 21:48:22,089 - src.data_processor - WARNING -   - Andover, NJ
2026-01-18 21:48:22,089 - src.data_processor - WARNING -   - Annapolis Jct, MD
2026-01-18 21:48:22,089 - src.data_processor - WARNING -   - Annapolis Junction, MD
2026-01-18 21:48:22,089 - src.data_processor - WARNING -   - Annville, PA
2026-01-18 21:48:22,090 - src.data_processor - WARNING -   - Antioch, TN
2026-01-18 21:48:22,090 - src.data_processor - WARNING -   - Appleton, NY
2026-01-18 21:48:22,090 - src.data_processor - WARNING -   - Ararat, NC
2026-01-18 21:48:22,090 - src.data_processor - WARNING -   - Arcade, NY
2026-01-18 21:48:22,090 - src.data_processor - WARNING -   - Arden, NC
2026-01-18 21:48:22,091 - src.data_processor - WARNING -   - Armuchee, GA
2026-01-18 21:48:22,091 - src.data_processor - WARNING -   - Arrington, TN
2026-01-18 21:48:22,091 - src.data_processor - WARNING -   - Artemas, PA
2026-01-18 21:48:22,091 - src.data_processor - WARNING -   - Arvonia, VA
2026-01-18 21:48:22,091 - src.data_processor - WARNING -   - Ash, NC
2026-01-18 21:48:22,091 - src.data_processor - WARNING -   - Ashboro, NC
2026-01-18 21:48:22,093 - src.data_processor - WARNING -   - Ashcamp, KY
2026-01-18 21:48:22,093 - src.data_processor - WARNING -   - Ashland, MA
2026-01-18 21:48:22,093 - src.data_processor - WARNING -   - Ashville, NY
2026-01-18 21:48:22,093 - src.data_processor - WARNING -   - Assonet, MA
2026-01-18 21:48:22,093 - src.data_processor - WARNING -   - Aston, PA
2026-01-18 21:48:22,093 - src.data_processor - WARNING -   - Astoria, NY
2026-01-18 21:48:22,093 - src.data_processor - WARNING -   - Athens, NY
2026-01-18 21:48:22,093 - src.data_processor - WARNING -   - Auburn, MA
2026-01-18 21:48:22,094 - src.data_processor - WARNING -   - Auburn, PA
2026-01-18 21:48:22,094 - src.data_processor - WARNING -   - Augusta, SC
2026-01-18 21:48:22,094 - src.data_processor - WARNING -   - Augusta, WV
2026-01-18 21:48:22,094 - src.data_processor - WARNING -   - Austel, GA
2026-01-18 21:48:22,094 - src.data_processor - WARNING -   - Avoca, MI
2026-01-18 21:48:22,094 - src.data_processor - WARNING -   - Avon, CT
2026-01-18 21:48:22,095 - src.data_processor - WARNING -   - Avon, MA
2026-01-18 21:48:22,095 - src.data_processor - WARNING -   - Avon, NY
2026-01-18 21:48:22,095 - src.data_processor - WARNING -   - Axton, VA
2026-01-18 21:48:22,095 - src.data_processor - WARNING -   - Ayer, MA
